SYMBOL,SERIES,ISIN,Sec Desc,STT Indicator                                                                                                             
HERIT-RE,BE,INE978A20019,HERITAGE FOODS LTD,RE                                                                                                        
KOTAKMID50,EQ,INF174KA1IB3,KOTAKMAMC - KOTAKMID50,EF                                                                                                  
BSLSENETFG,BL,INF209KB10E8,BIRLASLAMC - BSLSENETFG,EF                                                                                                 
APCL-RE,BL,INE071F20012,ANJANI PORTLAND CEM LTD,RE                                                                                                    
750798,BE,INE875N20010,BANDARAM PHARMA PACKTECH LIMIT,RE                                                                                              
ICICIFMCG,BL,INF109KC1R48,ICICIPRAMC - ICICIFMCG,EF                                                                                                   
MOHEALTH,BL,INF247L01BB1,MOTILALAMC - MOHEALTH,EF                                                                                                     
542815,MF,INF204KB12G0,Nippon India Mutual Fund,EF                                                                                                    
542805,MF,INF204KB13E3,Nippon India Mutual Fund,EF                                                                                                    
542839,MF,INF204KB13G8,Nippon India Mutual Fund,EF                                                                                                    
542811,MF,INF204KB17E4,Nippon India Mutual Fund,EF                                                                                                    
TECH,EQ,INF209KB11D8,BIRLASLAMC - TECH,EF                                                                                                             
HDFCMOMENT,BL,INF179KC1DM4,HDFCAMC - HDFCMOMENT,EF                                                                                                    
KOTAKMNC,BL,INF174KA1JF2,KOTAKMAMC - KOTAKMNC,EF                                                                                                      
538683,BL,INF204KA1UN7,NIPPON INDIA ETF SENSEX,EF                                                                                                     
539031,EQ,INF200KA1572,SBI Mutual Fund,EF                                                                                                             
HDFCQUAL,BL,INF179KC1DL6,HDFCAMC - HDFCQUAL,EF                                                                                                        
HDFCVALUE,BL,INF179KC1DK8,HDFCAMC - HDFCVALUE,EF                                                                                                      
ICICIFIN,BL,INF109KC17L8,ICICIPRAMC-ICICIFIN,EF                                                                                                       
RSWM-RE,BE,INE611A20016,RSWM LIMITED,RE                                                                                                               
KOTAKLOVOL,BL,INF174KA1IY5,KOTAKMAMC - KOTAKLOVOL,EF                                                                                                  
EC1DG,MF,INF903JA1CJ0,SUNDARMAMC - EC1DG,EF                                                                                                           
EC1RG,MF,INF903JA1CH4,SUNDARMAMC - EC1RG,EF                                                                                                           
