526,NURECA,INE0DSF01015,356.75,100
527,SGBD29VIII,IN0020210228,5818.7,10
528,DSPSILVETF,INF740KA1RE3,70.08,20
529,BALAXI,INE618N01014,514.8,20
530,CHEMFAB,INE783X01023,315.2,20.98
531,HBLPOWER,INE292B01021,161.6,22.34
532,APCL,INE071F01012,179.35,20
533,NATCOPHARM,INE987B01026,673.3,20
534,BANDHANBNK,INE545U01014,222.75,20
535,SGBAUG28V,IN0020200161,5891.29,10
536,HDFCNIFIT,INF179KC1DX1,296.94,20
537,MGL,INE002S01010,1112,20
538,MAHABANK,INE457A01014,31.7,20
539,GODREJIND,INE233A01035,496.25,20
540,SHRIRAMFIN,INE721A01013,1760.7,20
541,FEDERALBNK,INE171A01029,135,20
542,DOLLAR,INE325C01035,375.05,20
543,WHEELS,INE715A01015,815,20
544,BFUTILITIE,INE243D01012,379.1,20
545,TRIL,INE763I01026,100.25,24.9
546,SGBMAY25,IN0020170018,5820.06,10
547,ONWARDTEC,INE229A01017,503.35,21.6
548,SGBMAR24,IN0020150119,5805,10
549,BOROLTD,INE02PY01013,414.2,20
550,HDFCSILVER,INF179KC1DI2,69.9,20
551,ALKYLAMINE,INE150B01039,2502.25,20
552,PETRONET,INE347G01014,230.3,20
553,LAXMIMACH,INE269B01029,13580.6,20
554,ESCORTS,INE042A01014,2294.9,20
555,ORBTEXP,INE231G01010,182.1,100
556,FCL,INE045J01026,284.2,20.75
557,BORORENEW,INE666D01022,483.6,20
558,SETFNIF50,INF200KA1FS1,201.82,6
559,SGBN28VIII,IN0020200286,5831.92,10
560,GREENPANEL,INE08ZM01014,351.25,20
561,OMINFRAL,INE239D01028,48.9,100
562,ABSLBANETF,INF209KB17D5,45.11,20
563,NOCIL,INE163A01018,207.95,20
564,CGPOWER,INE067A01029,399.05,20
565,TARC,INE0EK901012,64.3,20
566,SELAN,INE818A01017,350.85,21.3
567,AUTOIND,INE718H01014,68.55,20.85
568,RUBYMILLS,INE301D01026,221.15,22.86
569,DIAMONDYD,INE393P01035,784.6,20
570,TCPLPACK,INE822C01015,1450.45,20.54
571,PRAKASH,INE603A01013,80,20
572,GTPL,INE869I01013,115.6,20
573,SMLT,INE017W01010,281.55,100
574,CHOLAFIN,INE121A01024,1132,20
575,MONARCH,INE903D01011,281.45,23.81
576,SHARDAMOTR,INE597I01028,833.5,20
577,ABSLNN50ET,INF209KB16D7,45.39,6.55
578,SETFNN50,INF200KA1598,462.31,6.09
579,SEQUENT,INE807F01027,88.15,20.87
580,AJOONI,INE820Y01021,4.4,100
581,M&M,INE101A01026,1569.45,10.32
582,UNOMINDA,INE405E01023,581.8,20
583,TIRUPATIFL,INE319Y01024,7.3,100
584,UGARSUGAR,INE071E01023,125.2,21.34
585,JWL,INE209L01016,172.15,22.9
586,NACLIND,INE295D01020,88,20
587,AVTNPL,INE488D01021,88.85,20
588,GLOBAL,INE291W01029,168.25,100
589,RGL,INE722H01024,105.6,20
590,GRPLTD,INE137I01015,3615.5,100
591,MMTC,INE123F01029,32.45,20
592,AUTOAXLES,INE449A01011,2202.95,20
593,ELGIEQUIP,INE285A01027,545.5,20.32
594,IZMO,INE848A01014,193.9,100
595,TOKYOPLAST,INE932C01012,94.15,20
596,MID150BEES,INF204KB1V68,138.39,6.08
597,RML,INE050H01012,665.1,20.72
598,FOODSIN,INE976E01023,184.75,20
599,KRITINUT,INE798K01010,60.45,20
600,SDBL,INE480C01020,309.3,21.56
601,JCHAC,INE782A01015,1049.75,20
602,TIPSFILMS,INE0LQS01015,502.75,22.5
603,PGHH,INE179A01014,14712.45,20
604,SANSERA,INE953O01021,904.15,20
605,RPGLIFE,INE105J01010,939.15,20
606,ESSARSHPNG,INE122M01019,11.35,100
