ISIN,SYMBOL,SERIES,TYPE,HAIRCUT,NAV
INF846K01T69,AXISRCDGG,GR,OMF,7.5,13.84
INF846K01T85,AXISRCGPG,GR,OMF,7.5,13.02
INF846K01T28,AXISRDDGG,GR,OMF,7.5,14.99
INF846K01T51,AXISRDDPD,DP,OMF,7.5,14.05
INF846K01T44,AXISRDGPG,GR,OMF,7.5,14.05
INF846K014A6,AXISRFDGG,GR,OMF,7.5,1109.15
INF846K012B8,AXISRFGPG,GR,OMF,7.5,1100.37
INF846K01K43,AXISSCD1D,DP,OMF,7.5,43.02
INF846K01K50,AXISSCD1R,DR,OMF,7.5,43.02
INF846K01K35,AXISSCDGG,GR,OMF,7.5,82.23
INF846K01K27,AXISSCDPR,DR,OMF,7.5,37.57
INF846K01K01,AXISSCGPG,GR,OMF,7.5,72.73
INF846K01XR2,AXISSESRDD,DP,OMF,7.5,12.30
INF846K01XS0,AXISSESRDR,DR,OMF,7.5,12.30
INF846K01X89,AXISSSD1D,DP,OMF,7.5,13.49
INF846K01X97,AXISSSD1R,DR,OMF,7.5,13.49
INF846K01X71,AXISSSDGG,GR,OMF,7.5,13.49
INF846K01Y13,AXISSSDPD,DP,OMF,7.5,12.98
INF846K01Y21,AXISSSDPR,DR,OMF,7.5,12.98
INF846K01Y05,AXISSSGPG,GR,OMF,7.5,12.98
INF846K01RH5,AXISSTD1D,DP,OMF,7.5,17.55
INF846K01RI3,AXISSTD1R,DR,OMF,7.5,17.55
INF846K01EI1,AXISSTDG,GR,OMF,7.5,28.68
INF846K01EJ9,AXISSTDM,DP,OMF,7.5,10.03
INF846K01EK7,AXISSTDM,DR,OMF,7.5,10.03
INF846K01RJ1,AXISSTRDD,DP,OMF,7.5,17.77
INF846K01RK9,AXISSTRDR,DR,OMF,7.5,17.77
INF846K015J4,AXISSVDGG,GR,OMF,7.5,12.65
INF846K018J8,AXISSVGPG,GR,OMF,7.5,12.59
INF846K01EN1,AXISTADG,GR,OMF,7.5,2790.34
INF846K01EQ4,AXISTADR,DR,OMF,7.5,1012.47
INF846K01ER2,AXISTADW,DP,OMF,7.5,1012.01
INF846K01ES0,AXISTADW,DR,OMF,7.5,1012.01
INF846K01ET8,AXISTPD1,DP,OMF,7.5,22.72
INF846K01EU6,AXISTPD1,DR,OMF,7.5,22.72
INF846K01EV4,AXISTPDG,GR,OMF,7.5,35.03
INF846K01EX0,AXISTSD1,DP,OMF,7.5,47.46
INF846K01EY8,AXISTSD1,DR,OMF,7.5,47.46
INF846K01EW2,AXISTSDG,GR,OMF,7.5,79.15
INF846K01G31,AXISUSDDR,DR,OMF,7.5,10.07
INF846K01F40,AXISUSDGG,GR,OMF,7.5,13.47
INF846K01G72,AXISUSDPD,DP,OMF,7.5,10.06
INF846K01G64,AXISUSDPR,DR,OMF,7.5,10.06
INF846K01G23,AXISUSGPG,GR,OMF,7.5,12.91
INF846K01G56,AXISUSWDD,DP,OMF,7.5,10.07
INF846K01G49,AXISUSWDR,DR,OMF,7.5,10.07
INF846K010C0,AXISVFDGG,GR,OMF,7.5,12.27
INF209K01UM0,B02DZ,DR,OMF,7.5,330.19
INF209K01UN8,B02GZ,GR,OMF,7.5,47.88
INF209K01P23,B02Z,DP,OMF,7.5,330.19
INF084M01AG7,B1005,DR,OMF,7.5,43.11
INF209KB13F9,B100B,GR,OMF,7.5,11.40
INF209KB16F2,B100Y,GR,OMF,7.5,11.49
INF209KB18G6,B102B,GR,OMF,7.5,10.69
INF209KB11H9,B102X,DP,OMF,7.5,10.00
INF209KB10H1,B102Y,GR,OMF,7.5,10.72
INF084M01AF9,B103A,DP,OMF,7.5,43.11
INF084M01AE2,B103B,GR,OMF,7.5,46.81
INF084M01DM9,B103Y,GR,OMF,7.5,24.18
INF084M01AH5,B104B,GR,OMF,7.5,32.25
INF084M01AB8,B105G,GR,OMF,7.5,81.21
INF084M01AD4,B106D,DR,OMF,7.5,23.64
INF084M01AC6,B106DP,DP,OMF,7.5,23.64
INF209KB11I7,B108B,GR,OMF,7.5,10.51
INF209KB13I3,B108Y,GR,OMF,7.5,10.53
INF209KB17H6,B109B,GR,OMF,7.5,10.51
INF209KB19H2,B109Y,GR,OMF,7.5,10.54
INF209KB14J9,B110B,GR,OMF,7.5,10.90
INF209KB18L6,B111B,GR,OMF,7.5,10.58
INF209KB10M1,B111Y,GR,OMF,7.5,10.59
INF209KB12N5,B114B,GR,OMF,7.5,10.67
INF209KB14N1,B114Y,GR,OMF,7.5,10.68
INF209K010W9,B1180A,DP,OMF,7.5,20.57
INF209K011W7,B1180B,GR,OMF,7.5,45.51
INF209K012W5,B1180C,DR,OMF,7.5,20.57
INF209K013W3,B1180X,DP,OMF,7.5,27.29
INF209K014W1,B1180Y,GR,OMF,7.5,50.08
INF209K015W8,B1180Z,DR,OMF,7.5,27.29
INF209KB18R3,B118B,GR,OMF,7.5,10.34
INF209KB10S8,B118Y,GR,OMF,7.5,10.35
INF209K01LZ1,B132G,GR,OMF,7.5,473.78
INF209K01UR9,B132GZ,GR,OMF,7.5,480.28
INF209K01MA2,B132WD,DP,OMF,7.5,100.39
INF209K01US7,B132WZ,DP,OMF,7.5,100.41
INF209K01UT5,B151DZ,DP,GMF,10,100.09
INF209K01UU3,B151GZ,DP,GMF,10,323.10
INF209K01RV7,B151IG,GR,GMF,10,319.75
INF209K01UX7,B152GZ,GR,OMF,7.5,306.39
INF209K01MG9,B152IG,GR,OMF,7.5,299.41
INF209K01UY5,B152IZ,DP,OMF,7.5,100.44
INF209K01UZ2,B153DZ,DP,GMF,10,100.20
INF209K01RU9,B153G,GR,GMF,10,366.74
INF209K01VA3,B153GZ,GR,GMF,10,370.22
INF209K01VC9,B153WZ,DP,GMF,10,100.30
INF209K01VD7,B153Z,DP,GMF,10,201.00
INF209KB18T9,B158ON,DP,GMF,10,1000.00
INF209K01P49,B15Z,DP,OMF,7.5,51.53
INF209K01VF2,B16Z,GR,OMF,7.5,139.35
INF209K01VG0,B201DZ,DP,OMF,7.5,178.06
INF209K01VH8,B201GZ,GR,OMF,7.5,720.69
INF209K01VI6,B201RZ,DR,OMF,7.5,178.06
INF209K01VL0,B203GZ,GR,OMF,7.5,35.64
INF209K01P80,B205DZ,DP,OMF,7.5,11.41
INF209K01VP1,B205GZ,GR,OMF,7.5,24.56
INF209K01VQ9,B205RZ,DR,OMF,7.5,11.41
INF209K01Q06,B221DZ,DP,OMF,7.5,355.90
INF209K01VT3,B221GZ,GR,OMF,7.5,1112.43
INF209K01VU1,B221RZ,DR,OMF,7.5,355.90
